StartEndYear,Period,Area,Series code,Industry,Adjusted,Benchmark,No. of Employed
2020,Jan,California,31336000,Transportation Equipment Manufacturing,Not Adj,2019,131200
2020,Jan,California,31336100,Motor Vehicle Mfg.,Not Adj,2019,17200
2020,Jan,California,31336400,Aerospace Product and Parts Manufacturin,Not Adj,2019,79600
2020,Jan,California,31336600,Ship and Boat Building,Not Adj,2019,9200
2020,Jan,California,31337000,Furniture and Related Product Manufactur,Not Adj,2019,31400
2020,Jan,California,31337100,Household and Institutional Furniture Ma,Not Adj,2019,18700
2020,Jan,California,31339000,Miscellaneous Durable Goods Manufacturing,Not Adj,2019,85400
2020,Jan,California,31339100,Medical Equipment & Supplies Mfg.,Not Adj,2019,55900
2020,Jan,California,31339900,Other Miscellaneous Durable Goods Mfg.,Not Adj,2019,29500
2020,Jan,California,32000000,Nondurable Goods,Not Adj,2019,456500
2020,Jan,California,32311000,Food Manufacturing,Not Adj,2019,155100
2020,Jan,California,32311400,Fruit & Vegetable Preserving & Specialty,Not Adj,2019,22000
2020,Jan,California,32311500,Dairy Product Manufacturing,Not Adj,2019,17000
2020,Jan,California,32311600,Animal Slaughtering and Processing,Not Adj,2019,21800
2020,Jan,California,32311800,Bakeries and Tortilla Manufacturing,Not Adj,2019,42400
2020,Jan,California,32311900,Other Food Mfg.,Not Adj,2019,34900
2020,Jan,California,32312000,Beverage and Tobacco Product Mfg,Not Adj,2019,61200
2020,Jan,California,32313000,ResidualTextile Mills,Not Adj,2019,5300
2020,Jan,California,32314000,Textile Product Mills,Not Adj,2019,8500
2020,Jan,California,32315000,Apparel Manufacturing,Not Adj,2019,30200
2020,Jan,California,32315100,Apparel Knitting Mills,Not Adj,2019,900
2020,Jan,California,32315200,Cut and Sew Apparel Manufacturing,Not Adj,2019,28200
2020,Jan,California,32322000,Paper Manufacturing,Not Adj,2019,20900
2020,Jan,California,32322200,Converted Paper Product Mfg.,Not Adj,2019,19800
2020,Jan,California,32323000,Printing and Related Support Activities,Not Adj,2019,36500
2020,Jan,California,32324000,Petroleum and Coal Products Manufacturin,Not Adj,2019,12600
2020,Jan,California,32325000,Chemical Manufacturing,Not Adj,2019,80700
2020,Jan,California,32325400,Pharmaceutical and Medicine Manufacturin,Not Adj,2019,46200
2020,Jan,California,32325600,"Soap, Cleaning Compound & Toiletry Mfg.",Not Adj,2019,12400
2020,Jan,California,32326000,Plastics and Rubber Products Manufacturi,Not Adj,2019,42700
2020,Jan,California,40000000,"Trade, Transportation and Utilities",Not Adj,2019,3064200
2020,Jan,California,41000000,Wholesale Trade,Not Adj,2019,687800
2020,Jan,California,41423000,"Merchant Wholesalers, Durable Goods",Not Adj,2019,350400
2020,Jan,California,41423100,Motor Vehicle and Motor Vehicle Parts Me,Not Adj,2019,40500
2020,Jan,California,41423200,Furniture & Home Furnish Merch whole,Not Adj,2019,21300
2020,Jan,California,41423300,Lumber & Other Const. Mat Merch whole,Not Adj,2019,24000
2020,Jan,California,41423400,Professional and Commercial Equipment Me,Not Adj,2019,79200
2020,Jan,California,41423600,Electrical and Electronic Goods Merchant,Not Adj,2019,47900
2020,Jan,California,41423700,"Hdwr, Plumb & Heating Merchant whole",Not Adj,2019,29600
2020,Jan,California,41423800,"Machinery, Equipment and Supplies Mercha",Not Adj,2019,54700
2020,Jan,California,41424000,"Merchant Wholesalers, Nondurable Goods",Not Adj,2019,293800
2020,Jan,California,41424100,Paper & Paper Products Merchant whole,Not Adj,2019,14300
2020,Jan,California,41424300,"Apparel, Piece Gds & Notions Merch whole",Not Adj,2019,38900
2020,Jan,California,41424400,Grocery & Related Products Merchant whol,Not Adj,2019,111700
2020,Jan,California,41424600,Chemical & Allied Products Merchant whol,Not Adj,2019,14600
2020,Jan,California,41424900,Misc Nondurable Merchant Wholesalers,Not Adj,2019,49700
2020,Jan,California,41425000,Wholesale Electronic Markets and Agents,Not Adj,2019,43600
2020,Jan,California,42000000,Retail Trade,Not Adj,2019,1653800
2020,Jan,California,42441000,Motor Vehicle and Parts Dealer,Not Adj,2019,196500
2020,Jan,California,42441100,Automobile Dealers,Not Adj,2019,131500
2020,Jan,California,42441200,Other Motor Vehicle Dealers,Not Adj,2019,12400
2020,Jan,California,42441300,"Automotive Parts, Accessories and Tire S",Not Adj,2019,52600
2020,Jan,California,42442000,Furniture and Home Furnishings Stores,Not Adj,2019,53900
2020,Jan,California,42442100,Furniture Stores,Not Adj,2019,22000
2020,Jan,California,42442200,Home Furnishings Stores,Not Adj,2019,31900
2020,Jan,California,42443000,Electronics and Appliance Stores,Not Adj,2019,58400
2020,Jan,California,42444000,Building Material and Garden Equipment S,Not Adj,2019,117100
2020,Jan,California,42444100,Building Material and Supplies Dealers,Not Adj,2019,106400
2020,Jan,California,42445000,Food and Beverage Stores,Not Adj,2019,354300
2020,Jan,California,42445100,Grocery Stores,Not Adj,2019,310700
2020,Jan,California,42445200,Specialty Food Stores,Not Adj,2019,26300
2020,Jan,California,42445300,"Beer, Wine, & Liquor Stores",Not Adj,2019,17300
2020,Jan,California,42446000,Health and Personal Care Stores,Not Adj,2019,115500
2020,Jan,California,42447000,Gasoline Stations,Not Adj,2019,61800
2020,Jan,California,42448000,Clothing and Clothing Accessories Stores,Not Adj,2019,191800
2020,Jan,California,42448100,Clothing Stores,Not Adj,2019,148300
2020,Jan,California,42448300,"Jewelry, Luggage & Leather Gds Stores",Not Adj,2019,15500
2020,Jan,California,42451000,"Sporting Goods, Hobby, Book and Music St",Not Adj,2019,60500
2020,Jan,California,42451100,"Sporting Goods, Hobby and Musical Instru",Not Adj,2019,51300
2020,Jan,California,42451200,"Book, Periodical and Music Stores",Not Adj,2019,9200
2020,Jan,California,42452000,General Merchandise Stores,Not Adj,2019,293500
2020,Jan,California,42452200,Department Stores,Not Adj,2019,106600
2020,Jan,California,42452300,"General Merchandise Stores, including Warehouse Clubs and Supercenters",Not Adj,2019,186900
2020,Jan,California,42453000,Miscellaneous Store Retailers,Not Adj,2019,88900
2020,Jan,California,42453200,"Office Supplies, Stationery & Gift Store",Not Adj,2019,27400
2020,Jan,California,42453300,Used Merch&ise Stores,Not Adj,2019,18400
2020,Jan,California,42453900,Other Miscellaneous Store Retailers,Not Adj,2019,38900
2020,Jan,California,42454000,Nonstore Retailers,Not Adj,2019,61600
2020,Jan,California,42454100,Electronic Shopping & Mail-Order,Not Adj,2019,51200
2020,Jan,California,43000000,"Transportation, Warehousing and Utilitie",Not Adj,2019,722600
2020,Jan,California,43220000,Utilities,Not Adj,2019,57000
2020,Jan,California,43221100,"Electric Power Gen, Trans & Distribution",Not Adj,2019,18500
2020,Jan,California,43221200,Natural Gas Distribution,Not Adj,2019,33200
2020,Jan,California,43400089,Transportation and Warehousing,Not Adj,2019,665600
2020,Jan,California,43481000,Air Transportation,Not Adj,2019,59900
2020,Jan,California,43481100,Scheduled Air transp.,Not Adj,2019,54200
2020,Jan,California,43484000,Truck Transportation,Not Adj,2019,130900
2020,Jan,California,43484100,General Freight Trucking,Not Adj,2019,92200
2020,Jan,California,43484200,Specialized Freight Trucking,Not Adj,2019,38700
2020,Jan,California,43485000,Transit and Ground Passenger Transportat,Not Adj,2019,53500
2020,Jan,California,43488000,Support Activities for Transportation,Not Adj,2019,113800
2020,Jan,California,43488300,Support Activities for Water transp.,Not Adj,2019,22800
2020,Jan,California,43488400,Support Activities for Road transp.,Not Adj,2019,15200
2020,Jan,California,43488500,Freight transp. Arrangement,Not Adj,2019,33500
2020,Jan,California,43492000,Couriers and Messengers,Not Adj,2019,115900
2020,Jan,California,43493000,Warehousing and Storage,Not Adj,2019,169400
2020,Jan,California,50000000,Information,Not Adj,2019,577000
2020,Jan,California,50511000,Publishing Industries (except Internet),Not Adj,2019,121700
2020,Jan,California,50511100,"Newspaper, Periodical, Book and Director",Not Adj,2019,23500
2020,Jan,California,50511200,Software Publishers,Not Adj,2019,98200
2020,Jan,California,50512000,Motion Picture and Sound Recording,Not Adj,2019,163500
2020,Jan,California,50512100,Motion Picture & Video Industries,Not Adj,2019,159300
2020,Jan,California,50512110,Motion Picture & Video Production,Not Adj,2019,125000
2020,Jan,California,50515000,Broadcasting (except Internet),Not Adj,2019,43600
2020,Jan,California,50515100,Radio and Television Broadcasting,Not Adj,2019,29100
2020,Jan,California,50515200,Cable and Other Subscription Programming,Not Adj,2019,14500
2020,Jan,California,50517000,Telecommunications,Not Adj,2019,66400
2020,Jan,California,50517311,Wired Telecommunications Carriers,Not Adj,2019,45000
2020,Jan,California,50518000,"Data Processing, Hosting & Related Services",Not Adj,2019,54300
2020,Jan,California,50519000,Other Information Serv.,Not Adj,2019,127500
2020,Jan,California,55000000,Financial Activities,Not Adj,2019,844000
2020,Jan,California,55520000,Finance and Insurance,Not Adj,2019,541900
2020,Jan,California,55522000,Credit Intermediation and Related Activi,Not Adj,2019,242700
2020,Jan,California,55522100,Depository Credit Intermediation,Not Adj,2019,141100
2020,Jan,California,55522200,Nondepository Credit Intermediation,Not Adj,2019,58500
2020,Jan,California,55522300,Activities Related to Credit Intermediat,Not Adj,2019,43100
2020,Jan,California,55523000,"Securities, Commodity Contracts and Inve",Not Adj,2019,98600
2020,Jan,California,55523100,Securities & Commodity Contracts,Not Adj,2019,32800
2020,Jan,California,55523900,Other Financial Investment Activities,Not Adj,2019,65300
2020,Jan,California,55524000,Insurance Carriers and Related,Not Adj,2019,200600
2020,Jan,California,55524100,Insurance Carriers,Not Adj,2019,81800
2020,Jan,California,55524200,"Agencies, Brokerages, and Other Insuranc",Not Adj,2019,118800
2020,Jan,California,55530000,Real Estate and Rental and Leasing,Not Adj,2019,302100
2020,Jan,California,55531000,Real Estate,Not Adj,2019,234600
2020,Jan,California,55531100,Lessors of Real Estate,Not Adj,2019,67300
2020,Jan,California,55531200,Offices of Real Estate Agents and Broker,Not Adj,2019,54100
2020,Jan,California,55531300,Activities Related to Real Estate,Not Adj,2019,113200
2020,Jan,California,55532000,Rental and Leasing Services,Not Adj,2019,65000
2020,Jan,California,55532100,Automotive Equipment Rental and Leasing,Not Adj,2019,25500
2020,Jan,California,55532200,Consumer Goods Rental,Not Adj,2019,14800
2020,Jan,California,55532300,General Rental Centers,Not Adj,2019,2800
2020,Jan,California,55532400,Comm & Industrial Mach Rental & Leasing,Not Adj,2019,21900
2020,Jan,California,60000000,Professional and Business Services,Not Adj,2019,2711600
2020,Jan,California,60540000,"Professional, Scientific and Technical S",Not Adj,2019,1342600
2020,Jan,California,60541100,Legal Services,Not Adj,2019,141200
2020,Jan,California,60541200,"Accounting, Tax Preparation and Bookkeep",Not Adj,2019,132800
2020,Jan,California,60541300,"Architectural, Engineering and Related S",Not Adj,2019,186400
2020,Jan,California,60541400,Specialized Design Services,Not Adj,2019,24900
2020,Jan,California,60541500,Computer Systems Design and Related Serv,Not Adj,2019,351200
2020,Jan,California,60541600,"Management, Scientific and Technical Con",Not Adj,2019,209000
2020,Jan,California,60541700,Scientific Research and Development Serv,Not Adj,2019,154900
2020,Jan,California,60541800,Advertising and Related Services,Not Adj,2019,64700
2020,Jan,California,60541900,"Other Professional, Scientific and Techn",Not Adj,2019,77500
2020,Jan,California,60550000,Management of Companies and Enterprises,Not Adj,2019,252200
2020,Jan,California,60560000,Administrative and Support and Waste Ser,Not Adj,2019,1116800
2020,Jan,California,60561000,Administrative and Support Services,Not Adj,2019,1063500
2020,Jan,California,60561100,Office Administrative Services,Not Adj,2019,76300
2020,Jan,California,60561200,Facilities Support Serv.,Not Adj,2019,13000
2020,Jan,California,60561300,Employment Services,Not Adj,2019,456100
2020,Jan,California,60561400,Business Support Services,Not Adj,2019,62200
2020,Jan,California,60561500,Travel Arrangement and Reservation Servi,Not Adj,2019,24700
2020,Jan,California,60561600,Investigation and Security Services,Not Adj,2019,151600
2020,Jan,California,60561700,Services to Buildings and Dwellings,Not Adj,2019,244900
2020,Jan,California,60561900,ResidualOther Support Services,Not Adj,2019,34700
2020,Jan,California,60562000,Waste Management and Remediation Service,Not Adj,2019,53300
2020,Jan,California,65000000,Educational and Health Services,Not Adj,2019,2839900
2020,Jan,California,65610000,Educational Services,Not Adj,2019,385500
2020,Jan,California,65611100,Elementary and Secondary Schools,Not Adj,2019,101700
2020,Jan,California,65611200,Junior Colleges,Not Adj,2019,2600
2020,Jan,California,65611300,"Colleges, Universities and Professional",Not Adj,2019,158300
2020,Jan,California,65611600,Other Schools & Instruction,Not Adj,2019,76400
2020,Jan,California,65620000,Health Care and Social Assistance,Not Adj,2019,2454400
2020,Jan,California,65621000,Ambulatory Health Care Services,Not Adj,2019,883900
2020,Jan,California,65621100,Offices of Physicians,Not Adj,2019,246200
2020,Jan,California,65621200,Offices of Dentists,Not Adj,2019,137600
2020,Jan,California,65621300,Offices of Other Health Practitioners,Not Adj,2019,106200
2020,Jan,California,65621400,Outpatient Care Centers,Not Adj,2019,227300
2020,Jan,California,65621500,Medical & Diagnostic Laboratories,Not Adj,2019,38600
2020,Jan,California,65621600,Home Health Care Serv.,Not Adj,2019,97600
2020,Jan,California,65621900,Other Ambulatory Health Care Serv.,Not Adj,2019,30400
2020,Jan,California,65622000,Hospitals,Not Adj,2019,406700
2020,Jan,California,65622100,General Medical & Surgical Hosp.s,Not Adj,2019,381900
2020,Jan,California,65622200,Psychiatric & Substance Abuse Hosp,Not Adj,2019,8800
2020,Jan,California,65622300,"Specialty (not Psych, Sub Abuse) Hosp.",Not Adj,2019,16000
2020,Jan,California,65623000,Nursing and Residential Care Facilities,Not Adj,2019,306200
2020,Jan,California,65623100,Nursing Care Facilities,Not Adj,2019,138900
2020,Jan,California,65623200,"Residential Mental Retardation, Mental a",Not Adj,2019,56100
2020,Jan,California,65623300,Comm Care Facilities for the Elderly,Not Adj,2019,99300
2020,Jan,California,65623900,Other Residential Care Facilities,Not Adj,2019,11900
2020,Jan,California,65624000,Social Assistance,Not Adj,2019,857600
2020,Jan,California,65624100,Individual and Family Services,Not Adj,2019,720500
2020,Jan,California,65624200,"Community Food & Housing, & Emergency &",Not Adj,2019,22800
2020,Jan,California,65624300,Vocational Rehabilitation Services,Not Adj,2019,36100
2020,Jan,California,65624400,Child Day Care Services,Not Adj,2019,78200
2020,Jan,California,70000000,Leisure and Hospitality,Not Adj,2019,2009800
2020,Jan,California,70710000,"Arts, Entertainment, and Recreation",Not Adj,2019,322500
2020,Jan,California,70711000,"Performing Arts, Spectator Sports",Not Adj,2019,69600
2020,Jan,California,70711100,Performing Arts Companies,Not Adj,2019,14000
2020,Jan,California,70711200,Spectator Sports,Not Adj,2019,12900
2020,Jan,California,70711500,"Independent Artists, Writers, and Perfor",Not Adj,2019,14300
2020,Jan,California,70712000,"Museums, Historical Sites, and Similar I",Not Adj,2019,20600
2020,Jan,California,70713000,"Amusement, Gambling, and Recreation",Not Adj,2019,232300
2020,Jan,California,70713100,Amusement Parks and Arcades,Not Adj,2019,47500
2020,Jan,California,70713200,Gambling Industries,Not Adj,2019,17100
2020,Jan,California,70713900,Other Amusement and Recreation,Not Adj,2019,167700
2020,Jan,California,70720000,Accommodation and Food Service,Not Adj,2019,1687300
2020,Jan,California,70721000,Accommodation,Not Adj,2019,236200
2020,Jan,California,70722000,Food Services and Drinking Places,Not Adj,2019,1451100
2020,Jan,California,70722300,Special Food Services,Not Adj,2019,70200
2020,Jan,California,70722400,Drinking Places (Alcoholic Beverages),Not Adj,2019,35000
2020,Jan,California,70722511,Full-Service Restaurants,Not Adj,2019,645700
2020,Jan,California,70722590,Limited-Service Eating Places,Not Adj,2019,700200
2020,Jan,California,80000000,Other Services,Not Adj,2019,575200
2020,Jan,California,80811000,Repair and Maintenance,Not Adj,2019,157200
2020,Jan,California,80811100,Auto Repair & Maintenance,Not Adj,2019,119500
2020,Jan,California,80811300,Commercial & Industrial Machinery,Not Adj,2019,18400
2020,Jan,California,80811400,Personal & Household Goods Repair,Not Adj,2019,8700
2020,Jan,California,80812000,Personal and Laundry Services,Not Adj,2019,187000
2020,Jan,California,80812100,Personal Care Serv.,Not Adj,2019,88400
2020,Jan,California,80812300,Drycleaning & Laundry Serv.,Not Adj,2019,34600
2020,Jan,California,80812900,Other Personal Services,Not Adj,2019,52800
2020,Jan,California,80813000,"Religious, Grantmaking, Civic, Professio",Not Adj,2019,231000
2020,Jan,California,80813100,Religious Organizations,Not Adj,2019,93200
2020,Jan,California,80813200,Grantmaking & Giving Serv.,Not Adj,2019,26000
2020,Jan,California,80813300,Social Advocacy Organizations,Not Adj,2019,28000
2020,Jan,California,80813400,Civic & Social Organizations,Not Adj,2019,43200
2020,Jan,California,80813900,"Bus,Labor, Political & Other like Org.",Not Adj,2019,40600
2020,Jan,California,90000000,Government,Not Adj,2019,2633600
2020,Jan,California,90910000,Federal Government,Not Adj,2019,248800
2020,Jan,California,90912991,Federal Government excluding Department of Defense,Not Adj,2019,184000
2020,Jan,California,90919110,Department of Defense,Not Adj,2019,64800
2020,Jan,California,90920000,State Government,Not Adj,2019,549600
2020,Jan,California,90921611,State Government Education,Not Adj,2019,272000
2020,Jan,California,90922000,State Government Excluding Education,Not Adj,2019,277600
2020,Jan,California,90930000,Local Government,Not Adj,2019,1835200
2020,Jan,California,90931150,Indian Tribes,Not Adj,2019,67200
2020,Jan,California,90931611,Local Government Education,Not Adj,2019,1005900
2020,Jan,California,90932000,Local Government Excluding Education,Not Adj,2019,829300
2020,Jan,California,90939012,County,Not Adj,2019,358100
2020,Jan,California,90939022,City,Not Adj,2019,272900
2020,Jan,California,90939032,Special Districts,Not Adj,2019,131100
2020,Jan,California,90940000,State and Local Government,Not Adj,2019,2384800
2020,Feb,California,0,Total Nonfarm,Not Adj,2019,17541400
2020,Feb,California,1000000,Total Wage and Salary,Not Adj,2019,17902200
2020,Feb,California,5000000,Total Private,Not Adj,2019,14888100
2020,Feb,California,6000000,Goods Producing,Not Adj,2019,2204200
2020,Feb,California,7000000,Service Providing,Not Adj,2019,15337200
2020,Feb,California,8000000,Private Service Providing,Not Adj,2019,12683900
2020,Feb,California,10000000,Mining and Logging,Not Adj,2019,21900
2020,Feb,California,10113300,Logging,Not Adj,2019,1300
2020,Feb,California,10210000,Mining,Not Adj,2019,20600
2020,Feb,California,10211000,Oil & Gas Extraction,Not Adj,2019,4700
2020,Feb,California,10212000,"Mining, except Oil & Gas",Not Adj,2019,5900
2020,Feb,California,10213000,Support Activities for Mining,Not Adj,2019,10000
2020,Feb,California,11000000,Total Farm,Not Adj,2019,360800
2020,Feb,California,15000000,"Natural Resources, Mining and Constructi",Not Adj,2019,897600
2020,Feb,California,20000000,Construction,Not Adj,2019,875700
2020,Feb,California,20236000,Construction of Buildings,Not Adj,2019,198700
2020,Feb,California,20236100,Residential Building Construction,Not Adj,2019,115500
2020,Feb,California,20236200,Nonresidential Building Construction,Not Adj,2019,83200
2020,Feb,California,20237000,Heavy and Civil Engineering Construction,Not Adj,2019,92000
2020,Feb,California,20237100,Utility System Const.,Not Adj,2019,50000
2020,Feb,California,20237200,L& Subdivision,Not Adj,2019,6900
2020,Feb,California,20237300,"Highway, Street, and Bridge Const",Not Adj,2019,24600
2020,Feb,California,20237900,Other Heavy & Civil Engineer,Not Adj,2019,10500
2020,Feb,California,20238000,Specialty Trade Contractors,Not Adj,2019,585000
2020,Feb,California,20238100,Building Foundation and Exterior Contrac,Not Adj,2019,130300
2020,Feb,California,20238200,Building Equipment Contractors,Not Adj,2019,244600
2020,Feb,California,20238300,Building Finishing Contractors,Not Adj,2019,145200
2020,Feb,California,20238900,Other Specialty Trade Contract,Not Adj,2019,64900
2020,Feb,California,30000000,Manufacturing,Not Adj,2019,1306600
2020,Feb,California,31000000,Durable Goods,Not Adj,2019,850200
2020,Feb,California,31321000,Wood Product Manufacturing,Not Adj,2019,25400
2020,Feb,California,31321900,Other Wood Product Mfg.,Not Adj,2019,18300
2020,Feb,California,31327000,Nonmetallic Mineral Product Mfg.,Not Adj,2019,32200
2020,Feb,California,31331000,Primary Metal Manufacturing,Not Adj,2019,16600
2020,Feb,California,31332000,Fabricated Metal Product Mfg,Not Adj,2019,130400
2020,Feb,California,31332300,Architectural & Structural Metals Mfg.,Not Adj,2019,32900
2020,Feb,California,31332700,Machine Shops & Threaded Product Mfg.,Not Adj,2019,42000
2020,Feb,California,31332900,Other Fabricated Metal Product Mfg.,Not Adj,2019,17800
2020,Feb,California,31333000,Machinery Manufacturing,Not Adj,2019,77800
2020,Feb,California,31333200,Industrial Machinery Manufacturing,Not Adj,2019,21400
2020,Feb,California,31333300,Commercial and Service Industry Manufact,Not Adj,2019,11400
2020,Feb,California,31333500,Metalworking Machinery Mfg.,Not Adj,2019,12200
2020,Feb,California,31333900,ResidualOther General Purpose Machinery,Not Adj,2019,15100
2020,Feb,California,31334000,Computer and Electronic Product Manufact,Not Adj,2019,287300
2020,Feb,California,31334100,Computer and Peripheral Equipment Manufa,Not Adj,2019,79200
2020,Feb,California,31334111,Electronic Computer Manufacturing,Not Adj,2019,68300
2020,Feb,California,31334200,Communications Equipment Manufacturing,Not Adj,2019,17500
2020,Feb,California,31334400,Semiconductor and Electronic Component M,Not Adj,2019,82300
2020,Feb,California,31334412,Bare Printed Circuit Board Manufacturing,Not Adj,2019,8200
2020,Feb,California,31334413,Semiconductor and Related Devices Manufa,Not Adj,2019,40700
2020,Feb,California,31334500,Electronic Instrument Manufacturing,Not Adj,2019,95200
2020,Feb,California,31335000,Electrical Equipment and Appliance Manuf,Not Adj,2019,32200
2020,Feb,California,31336000,Transportation Equipment Manufacturing,Not Adj,2019,131400
2020,Feb,California,31336100,Motor Vehicle Mfg.,Not Adj,2019,17100
2020,Feb,California,31336400,Aerospace Product and Parts Manufacturin,Not Adj,2019,79400
2020,Feb,California,31336600,Ship and Boat Building,Not Adj,2019,9300
2020,Feb,California,31337000,Furniture and Related Product Manufactur,Not Adj,2019,31300
2020,Feb,California,31337100,Household and Institutional Furniture Ma,Not Adj,2019,18600
2020,Feb,California,31339000,Miscellaneous Durable Goods Manufacturing,Not Adj,2019,85600
2020,Feb,California,31339100,Medical Equipment & Supplies Mfg.,Not Adj,2019,56000
2020,Feb,California,31339900,Other Miscellaneous Durable Goods Mfg.,Not Adj,2019,29600
2020,Feb,California,32000000,Nondurable Goods,Not Adj,2019,456400
2020,Feb,California,32311000,Food Manufacturing,Not Adj,2019,155400
2020,Feb,California,32311400,Fruit & Vegetable Preserving & Specialty,Not Adj,2019,22500
2020,Feb,California,32311500,Dairy Product Manufacturing,Not Adj,2019,17000
2020,Feb,California,32311600,Animal Slaughtering and Processing,Not Adj,2019,21800
2020,Feb,California,32311800,Bakeries and Tortilla Manufacturing,Not Adj,2019,42400
2020,Feb,California,32311900,Other Food Mfg.,Not Adj,2019,35000
2020,Feb,California,32312000,Beverage and Tobacco Product Mfg,Not Adj,2019,61600
2020,Feb,California,32313000,ResidualTextile Mills,Not Adj,2019,5300
2020,Feb,California,32314000,Textile Product Mills,Not Adj,2019,8600
2020,Feb,California,32315000,Apparel Manufacturing,Not Adj,2019,29500
2020,Feb,California,32315100,Apparel Knitting Mills,Not Adj,2019,900
2020,Feb,California,32315200,Cut and Sew Apparel Manufacturing,Not Adj,2019,28000
2020,Feb,California,32322000,Paper Manufacturing,Not Adj,2019,20800
2020,Feb,California,32322200,Converted Paper Product Mfg.,Not Adj,2019,19800
2020,Feb,California,32323000,Printing and Related Support Activities,Not Adj,2019,36700
2020,Feb,California,32324000,Petroleum and Coal Products Manufacturin,Not Adj,2019,12500
2020,Feb,California,32325000,Chemical Manufacturing,Not Adj,2019,80400
2020,Feb,California,32325400,Pharmaceutical and Medicine Manufacturin,Not Adj,2019,46100
2020,Feb,California,32325600,"Soap, Cleaning Compound & Toiletry Mfg.",Not Adj,2019,12400
2020,Feb,California,32326000,Plastics and Rubber Products Manufacturi,Not Adj,2019,42800
